date,shift,gast_no,task_no,task_name
2021-03-06,0,7,1,ORDONNANS
2021-03-06,0,0,2,UDKIG
2021-03-06,0,5,3,BJÆRGEMÆRS
2021-03-06,0,1,4,RORGÆNGER
2021-03-06,0,8,5,UDSÆTNINGSGAST
2021-03-06,0,11,6,HU
2021-03-06,0,10,7,PEJLEGAST_A
2021-03-06,0,16,8,PEJLEGAST_B
2021-03-06,0,2,9,DÆKSELEV_I_KABYS
2021-03-06,1,35,0,VAGTHAVENDE_ELEV
2021-03-06,1,38,1,ORDONNANS
2021-03-06,1,20,2,UDKIG
2021-03-06,1,23,3,BJÆRGEMÆRS
2021-03-06,1,22,4,RORGÆNGER
2021-03-06,1,37,5,UDSÆTNINGSGAST
2021-03-06,1,34,6,HU
2021-03-06,1,24,7,PEJLEGAST_A
2021-03-06,1,31,8,PEJLEGAST_B
2021-03-06,1,39,9,DÆKSELEV_I_KABYS
2021-03-06,1,43,-1,SICK
2021-03-06,2,55,0,VAGTHAVENDE_ELEV
2021-03-06,2,47,1,ORDONNANS
2021-03-06,2,41,2,UDKIG
2021-03-06,2,40,3,BJÆRGEMÆRS
2021-03-06,2,44,4,RORGÆNGER
2021-03-06,2,48,5,UDSÆTNINGSGAST
2021-03-06,2,50,6,HU
2021-03-06,2,49,7,PEJLEGAST_A
2021-03-06,2,59,8,PEJLEGAST_B
2021-03-06,2,58,9,DÆKSELEV_I_KABYS
2021-03-06,2,51,-1,SICK
2021-03-06,3,14,0,VAGTHAVENDE_ELEV
2021-03-06,3,16,1,ORDONNANS
2021-03-06,3,9,2,UDKIG
2021-03-06,3,3,3,BJÆRGEMÆRS
2021-03-06,3,1,4,RORGÆNGER
2021-03-06,3,4,5,UDSÆTNINGSGAST
2021-03-06,3,5,6,HU
2021-03-06,3,10,7,PEJLEGAST_A
2021-03-06,3,18,8,PEJLEGAST_B
2021-03-06,3,13,9,DÆKSELEV_I_KABYS
2021-03-06,3,57,-1,SICK
2021-03-06,4,33,0,VAGTHAVENDE_ELEV
2021-03-06,4,27,1,ORDONNANS
2021-03-06,4,32,2,UDKIG
2021-03-06,4,37,3,BJÆRGEMÆRS
2021-03-06,4,36,4,RORGÆNGER
2021-03-06,4,29,5,UDSÆTNINGSGAST
2021-03-06,4,26,6,HU
2021-03-06,4,25,7,PEJLEGAST_A
2021-03-06,4,20,8,PEJLEGAST_B
2021-03-06,4,31,9,DÆKSELEV_I_KABYS
2021-03-06,5,59,0,VAGTHAVENDE_ELEV
2021-03-06,5,42,1,ORDONNANS
2021-03-06,5,40,2,UDKIG
2021-03-06,5,54,3,BJÆRGEMÆRS
2021-03-06,5,46,4,RORGÆNGER
2021-03-06,5,48,5,UDSÆTNINGSGAST
2021-03-06,5,57,6,HU
2021-03-06,5,41,7,PEJLEGAST_A
2021-03-06,5,43,8,PEJLEGAST_B
2021-03-06,5,52,9,DÆKSELEV_I_KABYS
2021-03-06,5,22,-1,SICK
2021-03-07,0,7,0,VAGTHAVENDE_ELEV
2021-03-07,0,9,1,ORDONNANS
2021-03-07,0,18,2,UDKIG
2021-03-07,0,3,3,BJÆRGEMÆRS
2021-03-07,0,15,4,RORGÆNGER
2021-03-07,0,10,5,UDSÆTNINGSGAST
2021-03-07,0,17,6,HU
2021-03-07,0,6,7,PEJLEGAST_A
2021-03-07,0,4,8,PEJLEGAST_B
2021-03-07,0,13,9,DÆKSELEV_I_KABYS
2021-03-07,0,26,-1,SICK
2021-03-07,1,26,0,VAGTHAVENDE_ELEV
2021-03-07,1,23,1,ORDONNANS
2021-03-07,1,35,2,UDKIG
2021-03-07,1,39,3,BJÆRGEMÆRS
2021-03-07,1,31,4,RORGÆNGER
2021-03-07,1,33,5,UDSÆTNINGSGAST
2021-03-07,1,27,6,HU
2021-03-07,1,22,7,PEJLEGAST_A
2021-03-07,1,25,8,PEJLEGAST_B
2021-03-07,1,28,9,DÆKSELEV_I_KABYS
2021-03-07,2,49,0,VAGTHAVENDE_ELEV
2021-03-07,2,43,1,ORDONNANS
2021-03-07,2,59,2,UDKIG
2021-03-07,2,51,3,BJÆRGEMÆRS
2021-03-07,2,52,4,RORGÆNGER
2021-03-07,2,41,5,UDSÆTNINGSGAST
2021-03-07,2,47,6,HU
2021-03-07,2,48,7,PEJLEGAST_A
2021-03-07,2,50,8,PEJLEGAST_B
2021-03-07,2,46,9,DÆKSELEV_I_KABYS
2021-03-07,3,2,0,VAGTHAVENDE_ELEV
2021-03-07,3,12,1,ORDONNANS
2021-03-07,3,15,2,UDKIG
2021-03-07,3,4,3,BJÆRGEMÆRS
2021-03-07,3,5,4,RORGÆNGER
2021-03-07,3,9,5,UDSÆTNINGSGAST
2021-03-07,3,10,6,HU
2021-03-07,3,6,7,PEJLEGAST_A
2021-03-07,3,11,8,PEJLEGAST_B
2021-03-07,3,1,9,DÆKSELEV_I_KABYS
2021-03-07,3,8,-1,SICK
2021-03-07,4,32,0,VAGTHAVENDE_ELEV
2021-03-07,4,29,1,ORDONNANS
2021-03-07,4,23,2,UDKIG
2021-03-07,4,27,3,BJÆRGEMÆRS
2021-03-07,4,22,4,RORGÆNGER
2021-03-07,4,21,5,UDSÆTNINGSGAST
2021-03-07,4,25,6,HU
2021-03-07,4,36,7,PEJLEGAST_A
2021-03-07,4,35,8,PEJLEGAST_B
2021-03-07,4,26,9,DÆKSELEV_I_KABYS
2021-03-07,5,44,0,VAGTHAVENDE_ELEV
2021-03-07,5,49,1,ORDONNANS
2021-03-07,5,47,2,UDKIG
2021-03-07,5,52,3,BJÆRGEMÆRS
2021-03-07,5,51,4,RORGÆNGER
2021-03-07,5,54,5,UDSÆTNINGSGAST
2021-03-07,5,46,6,HU
2021-03-07,5,40,7,PEJLEGAST_A
2021-03-07,5,57,8,PEJLEGAST_B
2021-03-07,5,48,9,DÆKSELEV_I_KABYS
2021-03-07,5,59,-1,SICK
2021-03-08,0,12,0,VAGTHAVENDE_ELEV
2021-03-08,0,15,1,ORDONNANS
2021-03-08,0,13,2,UDKIG
2021-03-08,0,6,3,BJÆRGEMÆRS
2021-03-08,0,2,4,RORGÆNGER
2021-03-08,0,17,5,UDSÆTNINGSGAST
2021-03-08,0,8,6,HU
2021-03-08,0,10,7,PEJLEGAST_A
2021-03-08,0,14,8,PEJLEGAST_B
2021-03-08,0,5,9,DÆKSELEV_I_KABYS
2021-03-08,1,32,0,VAGTHAVENDE_ELEV
2021-03-08,1,26,1,ORDONNANS
2021-03-08,1,33,2,UDKIG
2021-03-08,1,20,3,BJÆRGEMÆRS
2021-03-08,1,25,4,RORGÆNGER
2021-03-08,1,29,5,UDSÆTNINGSGAST
2021-03-08,1,31,6,HU
2021-03-08,1,24,7,PEJLEGAST_A
2021-03-08,1,21,8,PEJLEGAST_B
2021-03-08,1,38,9,DÆKSELEV_I_KABYS
2021-03-08,2,53,0,VAGTHAVENDE_ELEV
2021-03-08,2,44,1,ORDONNANS
2021-03-08,2,48,2,UDKIG
2021-03-08,2,57,3,BJÆRGEMÆRS
2021-03-08,2,43,4,RORGÆNGER
2021-03-08,2,59,5,UDSÆTNINGSGAST
2021-03-08,2,55,6,HU
2021-03-08,2,47,7,PEJLEGAST_A
2021-03-08,2,51,8,PEJLEGAST_B
2021-03-08,2,56,9,DÆKSELEV_I_KABYS
2021-03-08,2,41,-1,SICK
2021-03-08,3,10,0,VAGTHAVENDE_ELEV
2021-03-08,3,19,1,ORDONNANS
2021-03-08,3,11,2,UDKIG
2021-03-08,3,14,3,BJÆRGEMÆRS
2021-03-08,3,17,4,RORGÆNGER
2021-03-08,3,15,5,UDSÆTNINGSGAST
2021-03-08,3,8,6,HU
2021-03-08,3,4,7,PEJLEGAST_A
2021-03-08,3,1,8,PEJLEGAST_B
2021-03-08,3,13,9,DÆKSELEV_I_KABYS
2021-03-08,3,35,-1,SICK
2021-03-08,4,27,0,VAGTHAVENDE_ELEV
2021-03-08,4,35,1,ORDONNANS
2021-03-08,4,20,2,UDKIG
2021-03-08,4,36,3,BJÆRGEMÆRS
2021-03-08,4,38,4,RORGÆNGER
2021-03-08,4,23,5,UDSÆTNINGSGAST
2021-03-08,4,24,6,HU
2021-03-08,4,26,7,PEJLEGAST_A
2021-03-08,4,28,8,PEJLEGAST_B
2021-03-08,4,37,9,DÆKSELEV_I_KABYS
2021-03-08,5,55,0,VAGTHAVENDE_ELEV
2021-03-08,5,44,1,ORDONNANS
2021-03-08,5,47,2,UDKIG
2021-03-08,5,53,3,BJÆRGEMÆRS
2021-03-08,5,54,4,RORGÆNGER
2021-03-08,5,50,5,UDSÆTNINGSGAST
2021-03-08,5,40,6,HU
2021-03-08,5,46,7,PEJLEGAST_A
2021-03-08,5,59,8,PEJLEGAST_B
2021-03-08,5,45,9,DÆKSELEV_I_KABYS
2021-03-09,0,14,0,VAGTHAVENDE_ELEV
2021-03-09,0,11,1,ORDONNANS
2021-03-09,0,15,2,UDKIG
2021-03-09,0,19,3,BJÆRGEMÆRS
2021-03-09,0,2,4,RORGÆNGER
2021-03-09,0,9,5,UDSÆTNINGSGAST
2021-03-09,0,3,6,HU
2021-03-09,0,7,7,PEJLEGAST_A
2021-03-09,0,6,8,PEJLEGAST_B
2021-03-09,0,10,9,DÆKSELEV_I_KABYS
2021-03-09,0,51,-1,SICK
2021-03-09,1,36,0,VAGTHAVENDE_ELEV
2021-03-09,1,29,1,ORDONNANS
2021-03-09,1,26,2,UDKIG
2021-03-09,1,32,3,BJÆRGEMÆRS
2021-03-09,1,38,4,RORGÆNGER
2021-03-09,1,34,5,UDSÆTNINGSGAST
2021-03-09,1,20,6,HU
2021-03-09,1,39,7,PEJLEGAST_A
2021-03-09,1,33,8,PEJLEGAST_B
2021-03-09,1,31,9,DÆKSELEV_I_KABYS
2021-03-09,2,55,0,VAGTHAVENDE_ELEV
2021-03-09,2,59,1,ORDONNANS
2021-03-09,2,57,2,UDKIG
2021-03-09,2,41,3,BJÆRGEMÆRS
2021-03-09,2,46,4,RORGÆNGER
2021-03-09,2,58,5,UDSÆTNINGSGAST
2021-03-09,2,48,6,HU
2021-03-09,2,53,7,PEJLEGAST_A
2021-03-09,2,40,8,PEJLEGAST_B
2021-03-09,2,56,9,DÆKSELEV_I_KABYS
2021-03-09,3,14,0,VAGTHAVENDE_ELEV
2021-03-09,3,15,1,ORDONNANS
2021-03-09,3,13,2,UDKIG
2021-03-09,3,8,3,BJÆRGEMÆRS
2021-03-09,3,16,4,RORGÆNGER
2021-03-09,3,11,5,UDSÆTNINGSGAST
2021-03-09,3,18,6,HU
2021-03-09,3,17,7,PEJLEGAST_A
2021-03-09,3,6,8,PEJLEGAST_B
2021-03-09,3,4,9,DÆKSELEV_I_KABYS
2021-03-09,3,36,-1,SICK
2021-03-09,4,35,0,VAGTHAVENDE_ELEV
2021-03-09,4,33,1,ORDONNANS
2021-03-09,4,29,2,UDKIG
2021-03-09,4,37,3,BJÆRGEMÆRS
2021-03-09,4,21,4,RORGÆNGER
2021-03-09,4,31,5,UDSÆTNINGSGAST
2021-03-09,4,23,6,HU
2021-03-09,4,32,7,PEJLEGAST_A
2021-03-09,4,39,8,PEJLEGAST_B
2021-03-09,4,20,9,DÆKSELEV_I_KABYS
2021-03-09,5,58,0,VAGTHAVENDE_ELEV
2021-03-09,5,49,1,ORDONNANS
2021-03-09,5,46,2,UDKIG
2021-03-09,5,54,3,BJÆRGEMÆRS
2021-03-09,5,55,4,RORGÆNGER
2021-03-09,5,50,5,UDSÆTNINGSGAST
2021-03-09,5,43,6,HU
2021-03-09,5,52,7,PEJLEGAST_A
2021-03-09,5,44,8,PEJLEGAST_B
2021-03-09,5,59,9,DÆKSELEV_I_KABYS
2021-03-10,0,14,0,VAGTHAVENDE_ELEV
2021-03-10,0,16,1,ORDONNANS
2021-03-10,0,18,2,UDKIG
2021-03-10,0,4,3,BJÆRGEMÆRS
2021-03-10,0,15,4,RORGÆNGER
2021-03-10,0,10,5,UDSÆTNINGSGAST
2021-03-10,0,11,6,HU
2021-03-10,0,0,7,PEJLEGAST_A
2021-03-10,0,5,8,PEJLEGAST_B
2021-03-10,0,2,9,DÆKSELEV_I_KABYS
2021-03-10,1,28,0,VAGTHAVENDE_ELEV
2021-03-10,1,31,1,ORDONNANS
2021-03-10,1,29,2,UDKIG
2021-03-10,1,20,3,BJÆRGEMÆRS
2021-03-10,1,24,4,RORGÆNGER
2021-03-10,1,23,5,UDSÆTNINGSGAST
2021-03-10,1,39,6,HU
2021-03-10,1,36,7,PEJLEGAST_A
2021-03-10,1,30,8,PEJLEGAST_B
2021-03-10,1,34,9,DÆKSELEV_I_KABYS
2021-03-10,2,51,0,VAGTHAVENDE_ELEV
2021-03-10,2,54,1,ORDONNANS
2021-03-10,2,52,2,UDKIG
2021-03-10,2,47,3,BJÆRGEMÆRS
2021-03-10,2,48,4,RORGÆNGER
2021-03-10,2,53,5,UDSÆTNINGSGAST
2021-03-10,2,55,6,HU
2021-03-10,2,42,7,PEJLEGAST_A
